s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,Location ID,Location City,Location County,Mailing Address,Mailing Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HEARTLAND FEED SERVICES, LLC",5404,ST. ANTHONY,MERCER,"P.O. BOX 328, 426 W. MARKET ST.",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HEARTLAND FEED SERVICES, LLC",5406,ST. HENRY,MERCER,"P.O. BOX 328, 426 W. MARKET ST.",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARTLAND FEEDS,4609,WEST MANSFIELD,LOGAN,9800 COUNTY ROAD 26,WEST MANSFIELD OH 43358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEIMERL FARMS GRAIN LTD,4508,JOHNSTOWN,LICKING,3891 MINK ROAD,JOHNSTOWN OH 43031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEIMERL FARMS GRAIN LTD,4509,HAMILTON FARM,LICKING,3891 MINK ROAD,JOHNSTOWN OH 43031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HEMKER GRAIN, INC.",203,ELIDA,ALLEN,15970 JONESTOWN RD.,VENEDOCIA OH 45894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HEMKER GRAIN, INC.",8106,VENEDOCIA,VAN WERT,15970 JONESTOWN RD.,VENEDOCIA OH 45894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",202,CAIRO,ALLEN,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",1102,MECHANICSBURG,CHAMPAIGN,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",1110,URBANA,CHAMPAIGN,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",1111,THACKERY,CHAMPAIGN,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",1509,EAST LIVERPOOL,COLUMBIANA,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",1510,LISBON,COLUMBIANA,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",3204,VANLUE,HANCOCK,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",3208,ARLINGTON,HANCOCK,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",3306,ADA,HARDIN,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",3310,KENTON,HARDIN,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",3314,ALGER,HARDIN,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",4601,WEST LIBERTY,LOGAN,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",4606,DE GRAFF,LOGAN,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",5001,CANFIELD,MAHONING,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",5003,COLUMBIANA,MAHONING,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",5004,GARFIELD,MAHONING,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",5502,FLETCHER,MIAMI,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",6001,NASHPORT,MUSKINGUM,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",7402,MCCUTCHENVILL,SENECA,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",7905,NEW PHILADELPHIA,TUSCARAWAS,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",8007,RICHWOOD,UNION,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",8012,MARYSVILLE AG CAMPUS,UNION,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE COOPERATIVE, INC.",8803,UPPER SANDUSKY,WYANDOT,"59 GREIF PARKWAY, SUITE 200",DELAWARE OH 43015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERTZFELD POULTRY FARMS INC.,4804,WHITEHOUSE,LUCAS,15799 MILTON ROAD,GRAND RAPIDS OH 43522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HILLANDALE FARMS OHIO, LLC",2009,HICKSVILLE,DEFIANCE,9715 ROSEDALE ROAD,HICKSVILLE OH 43526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLANDALE GETTYSBURG LLC,1929,NEW PARIS,DARKE,3910 OXFORD ROAD,GETTYSBURG PA 17325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HOLMES AG SERVICE, INC.",3808,HOLMESVILLE,HOLMES,"P.O. BOX 67, 301 S. MARKET ST.",HOLMESVILLE OH 44633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HORD ELEVATOR, LLC",1714,BUCYRUS,CRAWFORD,"P.O. BOX 808, 911 S.R. 98",BUCYRUS OH 44820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HORD ELEVATOR, LLC",5903,EDISON FARM,MORROW,6769 TOWNSHIP ROAD 66,EDISON OH 43320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ISLERCREST FARMS, INC.",5117,PROSPECT,MARION,6416 SMELTZER ROAD,PROSPECT OH 43342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JACKSON AG SERVICES, LLC",4002,JACKSON,JACKSON,761 TOMLIN ROAD,WEST UNION OH 45693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JEFFERSON LANDMARK, INC.",3401,CADIZ,HARRISON,1525 STATE ROUTE 152,BLOOMINGDALE OH 43910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JENNINGS-GOMER EQUITY, INC.",210,GOMER,ALLEN,3798 WEST LINCOLN HIGHWAY,GOMER OH 45809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JENNINGS-GOMER EQUITY, INC.",6909,FT. JENNINGS,PUTNAM,235 WEST SECOND STREET,FT. JENNINGS OH 45844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JENNINGS-GOMER EQUITY, INC.",6910,T & D FARMS,PUTNAM,21717 ROAD 19,FT. JENNINGS OH 45844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JENNINGS-GOMER EQUITY, INC.",6911,BIRKEMEIER FARM,PUTNAM,17725 COUNTY ROAD 16-0,COLUMBUS GROVE OH 45830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JENNINGS-GOMER EQUITY, INC.",6913,COLUMBUS GROVE,PUTNAM,101 NORTH MAIN STREET,COLUMBUS GROVE OH 45830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEWELL GRAIN CO.,2003,HICKSVILLE,DEFIANCE,259 EAST HIGH STREET,HICKSVILLE OH 43526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEWELL GRAIN CO.,2005,JEWELL,DEFIANCE,"PO BOX 30008, 8049 INDEPENDENCE RD.",JEWELL OH 43530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEWELL GRAIN CO.,2007,NEY,DEFIANCE,465 WEST MAIN STREET,NEY OH 43549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEWELL GRAIN CO.,3508,OKOLONA,HENRY,M937 ROAD 17D,OKOLONA OH 43545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KAHLE SUPPLY & FEED MILL, INC.",6906,KALIDA,PUTNAM,"P.O. BOX 418, 120 E. MAIN ST.",KALIDA OH 45853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KALMBACH FEEDS, INC.",8806,UPR. SANDUSKY,WYANDOT,7148 STATE HIGHWAY 199,UPPER SANDUSKY OH 43351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KALMBACH FEEDS, INC.",8807,CAREY,WYANDOT,7148 STATE HIGHWAY 199,UPPER SANDUSKY OH 43351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KALMBACH FEEDS, INC.",8818,UPPER - REK,WYANDOT,7148 STATE HIGHWAY 199,UPPER SANDUSKY OH 43351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KELLER GRAIN & FEED, INC.",1901,HORATIO,DARKE,7977 MAIN ST.-HORATIO,GREENVILLE OH 45331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KEYSTONE COOPERATIVE, INC.",902,COLLEGE CORN.,BUTLER,770 N. HIGH SCHOOL ROAD,INDIANAPOLIS IN 46214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KEYSTONE COOPERATIVE, INC.",6801,VERONA,PREBLE,770 N. HIGH SCHOOL ROAD,INDIANAPOLIS IN 46214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KEYSTONE COOPERATIVE, INC.",6809,ELDORADO,PREBLE,770 N. HIGH SCHOOL ROAD,INDIANAPOLIS IN 46214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KG AGRI PRODUCTS INC.,3315,MT. VICTORY,HARDIN,20100 JOHNSON ROAD,MARYSVILLE OH 43040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KG AGRI PRODUCTS INC.,8002,MARYSVILLE,UNION,20100 JOHNSON ROAD,MARYSVILLE OH 43040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KING FEED & SUPPLY, INC.",4608,WEST LIBERTY,LOGAN,"PO BOX 157, 1001 W. RUNKLE ST.",WEST LIBERTY OH 43357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L.E. SOMMER KIDRON, INC.",8502,KIDRON,WAYNE,"P.O. BOX 230, 4874 KIDRON RD.",KIDRON OH 44636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L.E. SOMMER KIDRON, INC.",8503,KIDRON STATION,WAYNE,"P.O. BOX 230, 4874 KIDRON RD.",KIDRON OH 44636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKEVIEW GRAINS LLC,1614,COSHOCTON,COSHOCTON,18137 COUNTY ROAD 271,COSHOCTON OH 43812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGACY FARMERS COOPERATIVE,2008,DEFIANCE,DEFIANCE,6566 COUNTY ROAD 236,FINDLAY OH 45840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGACY FARMERS COOPERATIVE,3201,EAST FINDLAY,HANCOCK,6566 COUNTY ROAD 236,FINDLAY OH 45840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGACY FARMERS COOPERATIVE,3202,MT. BLANCHARD,HANCOCK,6566 COUNTY ROAD 236,FINDLAY OH 45840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGACY FARMERS COOPERATIVE,3203,MT. CORY,HANCOCK,6566 COUNTY ROAD 236,FINDLAY OH 45840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGACY FARMERS COOPERATIVE,3206,MCCOMB,HANCOCK,6566 COUNTY ROAD 236,FINDLAY OH 45840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGACY FARMERS COOPERATIVE,3207,FOSTORIA,HANCOCK,6566 COUNTY ROAD 236,FINDLAY OH 45840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGACY FARMERS COOPERATIVE,3212,WEST FINDLAY,HANCOCK,6566 COUNTY ROAD 236,FINDLAY OH 45840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGACY FARMERS COOPERATIVE,3213,SHAWTOWN,HANCOCK,6566 COUNTY ROAD 236,FINDLAY OH 45840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGACY FARMERS COOPERATIVE,3215,NORTH FINDLAY,HANCOCK,6566 COUNTY ROAD 236,FINDLAY OH 45840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGACY FARMERS COOPERATIVE,3515,DESHLER,HENRY,6566 COUNTY ROAD 236,FINDLAY OH 45840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGACY FARMERS COOPERATIVE,8702,CUSTAR,WOOD,6566 COUNTY ROAD 236,FINDLAY OH 45840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LIGHTHOUSE COMMODITIES, LLC",5904,EDISON,MORROW,5008 OSLO LANE,BISMARCK ND 58503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOUDONVILLE FARMERS EQUITY,304,LOUDONVILLE,ASHLAND,514 W. MAIN ST.,LOUDONVILLE OH 44842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCKEY FARMERS, INC.",6202,CURTICE,OTTAWA,"P.O. BOX 217, 1200 W. MAIN ST.",WOODVILLE OH 43469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCKEY FARMERS, INC.",6203,GRAYTOWN,OTTAWA,"P.O. BOX 217, 1200 W. MAIN ST.",WOODVILLE OH 43469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCKEY FARMERS, INC.",6205,OAK HARBOR,OTTAWA,"P.O. BOX 217, 1200 W. MAIN ST.",WOODVILLE OH 43469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCKEY FARMERS, INC.",7201,LINDSEY,SANDUSKY,"P.O. BOX 217, 1200 W. MAIN ST.",WOODVILLE OH 43469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCKEY FARMERS, INC.",7404,BASCOM,SENECA,"P.O. BOX 217, 1200 W. MAIN ST.",WOODVILLE OH 43469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCKEY FARMERS, INC.",8705,TONTOGANY,WOOD,"P.O. BOX 217, 1200 W. MAIN ST.",WOODVILLE OH 43469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCKEY FARMERS, INC.",8709,BOWLING GREEN,WOOD,"P.O. BOX 217, 1200 W. MAIN ST.",WOODVILLE OH 43469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCKEY FARMERS, INC.",8710,CYGNET,WOOD,"P.O. BOX 217, 1200 W. MAIN ST.",WOODVILLE OH 43469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCKEY FARMERS, INC.",8711,HASKINS,WOOD,"P.O. BOX 217, 1200 W. MAIN ST.",WOODVILLE OH 43469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCKEY FARMERS, INC.",8716,PERRYSBURG,WOOD,"P.O. BOX 217, 1200 W. MAIN ST.",WOODVILLE OH 43469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCKEY FARMERS, INC.",8717,SUGAR RIDGE,WOOD,"P.O. BOX 217, 1200 W. MAIN ST.",WOODVILLE OH 43469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCKEY FARMERS, INC.",8718,LEMOYNE,WOOD,"P.O. BOX 217, 1200 W. MAIN ST.",WOODVILLE OH 43469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCKEY FARMERS, INC.",8723,N. BALTIMORE,WOOD,"P.O. BOX 217, 1200 W. MAIN ST.",WOODVILLE OH 43469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARIA STEIN GRAIN CO.,5409,MARIA STEIN,MERCER,8010 STATE ROUTE 119,MARIA STEIN OH 45860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARIA STEIN GRAIN CO.,5422,BROOKSIDE,MERCER,8010 STATE ROUTE 119,MARIA STEIN OH 45860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARIA STEIN GRAIN CO.,7505,HOUSTON,SHELBY,8010 STATE ROUTE 119,MARIA STEIN OH 45860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MARSHALL GRAIN CO., INC.",2306,AMANDA,FAIRFIELD,"P.O. BOX 308, 208 W. MAIN ST.",AMANDA OH 43102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYSVILLE ELEVATOR, INC.",8523,MAYSVILLE,WAYNE,10583 HARRISON ROAD,APPLE CREEK OH 44606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MB GRAIN, LLC dba SMITHFIELD GRAIN",5111,MORRAL,MARION,2822 HIGHWAY 24 WEST,WARSAW NC 28398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MB GRAIN, LLC dba SMITHFIELD GRAIN",8816,HARPSTER,WYANDOT,2822 HIGHWAY 24 WEST,WARSAW NC 28398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MCDONALD & SON, INC.",2406,WASHINGTON C.H.,FAYETTE,"P.O. BOX 1078, 5401 INSKEEP NW",WASHINGTON C.H. OH 43160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MERCER LANDMARK, INC.",1907,NEW WESTON,DARKE,"P.O. BOX 328, 426 W. Market Street",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MERCER LANDMARK, INC.",2002,SHERWOOD,DEFIANCE,"P.O. BOX 328, 426 W. Market Street",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MERCER LANDMARK, INC.",5405,ROCKFORD,MERCER,"P.O. BOX 328, 426 W. Market Street",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MERCER LANDMARK, INC.",5421,COLDWATER NORTH,MERCER,"P.O. BOX 328, 426 W. Market Street",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MERCER LANDMARK, INC.",6301,PAYNE,PAULDING,"P.O. BOX 328, 426 W. Market Street",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MERCER LANDMARK, INC.",6302,LATTY,PAULDING,"P.O. BOX 328, 426 W. MARKET STREET",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MERCER LANDMARK, INC.",6303,GROVER HILL,PAULDING,"P.O. BOX 328, 426 W. Market Street",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MERCER LANDMARK, INC.",6304,ANTWERP,PAULDING,"P.O. BOX 328, 426 W. Market Street",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MERCER LANDMARK, INC.",8107,ELGIN,VAN WERT,"P.O. BOX 328, 426 W. Market Street",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MERCER LANDMARK, INC.",8112,CONVOY,VAN WERT,"P.O. BOX 328, 426 W. Market Street",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIAMI VALLEY FEED & GRAIN CO.,1204,NEW CARLISLE,CLARK,"P.O. BOX 69, 880 W. JEFFERSON ST.",NEW CARLISLE OH 45344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MILLER GRAIN, LLC",2408,WASHINGTON CH,FAYETTE,394 WHITE ROAD,WASHINGTON C.H. OH 43160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPS FEED, LLC",610,ST. MARYS,AUGLAIZE,"P.O. BOX 328, 426 WEST MARKET ST.",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPS FEED, LLC",5423,ST. HENRY,MERCER,"P.O. BOX 328, 426 WEST MARKET ST.",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT. EATON ELEVATOR,8514,MT. EATON,WAYNE,"P.O. BOX 195, 15911 BERRY STREET",MT. EATON OH 44659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NATURE PURE, LLC",8011,RAYMOND,UNION,26586 STATE ROUTE 739,RAYMOND OH 43067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW RIEGEL ELEVATOR, LLC",7420,NEW RIEGEL,SENECA,"P.O. BOX 7, 37 E. TIFFIN ST.",NEW RIEGEL OH 44853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NORTHERN OHIO GRAIN CO-OP, INC.",8707,BORDNER FARM,WOOD,"P.O. BOX 322, 20589 TAYLOR ST.",WESTON OH 43569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NORTHERN OHIO GRAIN CO-OP, INC.",8708,WESTON,WOOD,"P.O. BOX 322, 20589 TAYLOR ST.",WESTON OH 43569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NORTHERN OHIO GRAIN CO-OP, INC.",8713,GRAND RAPIDS,WOOD,"P.O. BOX 322, 20589 TAYLOR ST.",WESTON OH 43569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODENWELLER MILLING CO.,6901,OTTOVILLE,PUTNAM,"P.O. BOX 428, 184 E. MAIN ST.",OTTOVILLE OH 45876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OTTAWA FEED & GRAIN CO., INC.",6912,OTTAWA,PUTNAM,"P.O. BOX 262, 206 S. OAK ST.",OTTAWA OH 45875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PANDORA GRAIN & SUPPLY, INC.",204,BEAVERDAM,ALLEN,229 WEST PEARL STREET,BEAVERDAM OH 45808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PANDORA GRAIN & SUPPLY, INC.",218,BLUFFTON,ALLEN,229 WEST PEARL STREET,BEAVERDAM OH 45808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PANDORA GRAIN & SUPPLY, INC.",223,BEAVERDAM FLAT,ALLEN,229 WEST PEARL STREET,BEAVERDAM OH 45808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PANDORA GRAIN & SUPPLY, INC.",6918,PANDORA,PUTNAM,229 WEST PEARL STREET,BEAVERDAM OH 45808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETTISVILLE GRAIN CO.,2602,DELTA,FULTON,"P.O. BOX 53009, 18251 COUNTY ROAD DE",PETTISVILLE OH 43553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
