"ACCT_NUM","EXPIRE_DT","CLI_NUM","CLI_LEGAL_NAME","CLI_DBA","CONTACT_NAME_PREFIX","CONTACT_NAME_FIRST","CONTACT_NAME_MIDDLE","CONTACT_NAME_LAST","CONTACT_NAME_SUFFIX","CONTACT_NAME","ATTN_NAME","FACILITY_NAME","COUNTY_NAME"
"0318576","46538.0","00028323","PRODUCERS COOPERATIVE ELEVATOR","PRODUCERS COOP ELEVATOR","","JEFFREY","A","KLER","","JEFFREY A KLER","JEFFREY A KLER","6 PRODUCERS COOPERATIVE ELEVATOR","FLOYD"
"0318576","46538.0","00028323","PRODUCERS COOPERATIVE ELEVATOR","PRODUCERS COOP ELEVATOR","","JEFFREY","A","KLER","","JEFFREY A KLER","JEFFREY A KLER","1 PRODUCERS COOPERATIVE ELEVATOR","FLOYD"
"0893312","46295.0","00660794","F TROOP GRAINS LLC","","","CYDNEY","","HENLEY","","CYDNEY   HENLEY","CYDNEY   HENLEY","UMBARGER ELEVATOR","RANDALL"
"0893312","46295.0","00660794","F TROOP GRAINS LLC","","","CYDNEY","","HENLEY","","CYDNEY   HENLEY","CYDNEY   HENLEY","CONSUMER SUPPLY COOP","RANDALL"
"0385351","46538.0","00040923","COTTON CENTER GRAIN LTD","COTTON CENTER GRAIN LTD","","DAVID","D","CARVER","","DAVID D CARVER","DAVID D CARVER","1 COTTON CENTER GRAIN LTD","HALE"
"0385351","46538.0","00040923","COTTON CENTER GRAIN LTD","COTTON CENTER GRAIN LTD","","DAVID","D","CARVER","","DAVID D CARVER","DAVID D CARVER","2 COTTON CENTER GRAIN LTD","HALE"
"0392979","46538.0","00320617","CHS INC","","","SUE","","BALLESTAD","","SUE  BALLESTAD","SUE  BALLESTAD","CHS INC. - FRIONA, TX","PARMER"
"0396565","46538.0","00323403","MUENNINK GRAIN MERCHANDISING","","","CRAIG","R","MUENNINK","","CRAIG R MUENNINK","CRAIG R MUENNINK","MUENNINK GRAIN MERCHANDISING","MEDINA"
"0985963","46599.0","00716647","GRAIN GROWTH LLC","BOTTLINGER GRAIN","","LUCAS","J","LAGOS","","LUCAS J LAGOS","LUCAS J LAGOS","BOTTLINGER GRAIN INC HAMILTON","HAMILTON"
"0985963","46599.0","00716647","GRAIN GROWTH LLC","BOTTLINGER GRAIN","","LUCAS","J","LAGOS","","LUCAS J LAGOS","LUCAS J LAGOS","BOTTLINGER GRAIN INC CRAWFORD","MCLENNAN"
"0985963","46599.0","00716647","GRAIN GROWTH LLC","BOTTLINGER GRAIN","","LUCAS","J","LAGOS","","LUCAS J LAGOS","LUCAS J LAGOS","BOTTLINGER GRAIN INC TURNERSVILLE","CORYELL"
"0985963","46599.0","00716647","GRAIN GROWTH LLC","BOTTLINGER GRAIN","","LUCAS","J","LAGOS","","LUCAS J LAGOS","LUCAS J LAGOS","BOTTLINGER GRAIN INC OGLESBY","CORYELL"
"0975455","46446.0","00711436","BEAKLEY FARMS GRAIN LLC","","","JOHN","S","BEAKLEY","","JOHN S BEAKLEY","JOHN S BEAKLEY","BEAKLEY FARMS GRAIN LLC","ELLIS"
"0975455","46446.0","00711436","BEAKLEY FARMS GRAIN LLC","","","JOHN","S","BEAKLEY","","JOHN S BEAKLEY","JOHN S BEAKLEY","2 BEAKLEY FARMS GRAIN","ELLIS"
"0237646","46538.0","00031132","MUNCY ELEVATOR INC","MUNCY ELEVATOR INC","","PAUL","","ROSS","","PAUL  ROSS","PAUL  ROSS","2 MUNCY ELEVATOR INC","FLOYD"
"0237646","46538.0","00031132","MUNCY ELEVATOR INC","MUNCY ELEVATOR INC","","PAUL","","ROSS","","PAUL  ROSS","PAUL  ROSS","1 MUNCY ELEVATOR INC","FLOYD"
"0616745","46568.0","00469314","CONAGRI GOLDEN LLC","","","ESTHER","","ACOSTA","","ESTHER  ACOSTA","ESTHER  ACOSTA","CONAGRA GOLDEN LLC","HIDALGO"
