State,County,City,Business Entity,Warehouse Name,License Type,License Status,[License Number],CCC Code,CCC Status,Functional Unit,Capacities,Year of Ingest Date,Month of Ingest Date,Day of Ingest Date
OH,"Van Wert, OH",ELGIN,"Mercer Landmark, Inc.","Mercer Landmark, Inc.",State,,[],[8-0717],Approved,7,,2026,September,9
OH,"Auglaize, OH",Uniopolis,"Sunrise Cooperative, Inc.",SUNRISE COOPERATIVE INC.,State,,[],[8-0741],Approved,7,"5,420,000",2026,September,9
OH,"Clark, OH",South Charleston,"Sunrise Cooperative, Inc.",SUNRISE COOPERATIVE INC.,State,,[],[8-0741],Approved,14,"9,907,000",2026,September,9
OH,"Crawford, OH",Galion (Crestline),"Sunrise Cooperative, Inc.",SUNRISE COOPERATIVE INC.,State,,[],[8-0741],Approved,3,"8,988,000",2026,September,9
OH,"Crawford, OH",New Washington,"Sunrise Cooperative, Inc.",SUNRISE COOPERATIVE INC.,State,,[],[8-0741],Approved,2,"2,129,000",2026,September,9
OH,"Darke, OH",Osgood,"Sunrise Cooperative, Inc.",SUNRISE COOPERATIVE INC.,State,,[],[8-0741],Approved,12,"567,000",2026,September,9
OH,"Huron, OH",Monroeville,"Sunrise Cooperative, Inc.",SUNRISE COOPERATIVE INC.,State,,[],[8-0741],Approved,4,"1,026,000",2026,September,9
OH,"Huron, OH",Wakeman (Clarksfield),"Sunrise Cooperative, Inc.",SUNRISE COOPERATIVE INC.,State,,[],[8-0741],Approved,5,"8,781,000",2026,September,9
OH,"Sandusky, OH",Clyde,"Sunrise Cooperative, Inc.",SUNRISE COOPERATIVE INC.,State,,[],[8-0741],Approved,1,"8,278,000",2026,September,9
OH,"Shelby, OH",Botkins,"Sunrise Cooperative, Inc.",SUNRISE COOPERATIVE INC.,State,,[],[8-0741],Approved,6,"4,098,000",2026,September,9
IA,"Cerro Gordo, IA",BURCHINAL,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,6,"2,296,000",2026,September,9
IA,"Cerro Gordo, IA",DOUGHERTY,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,7,"1,137,000",2026,September,9
IA,"Cerro Gordo, IA",ROCKWELL,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,8,"4,303,000",2026,September,9
IA,"Cerro Gordo, IA",SWALEDALE,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,9,"482,000",2026,September,9
IA,"Cerro Gordo, IA",VENTURA,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,15,"4,595,000",2026,September,9
IA,"Chickasaw, IA",IONIA,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,4,"558,000",2026,September,9
IA,"Chickasaw, IA",LAWLER,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,3,"739,000",2026,September,9
IA,"Chickasaw, IA",NASHUA,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,5,"1,225,000",2026,September,9
IA,"Chickasaw, IA",NEW HAMPTON,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,1,"3,636,000",2026,September,9
IA,"Chickasaw, IA",NORTH WASHINGTON,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,2,"645,000",2026,September,9
IA,"Franklin, IA",SHEFFIELD,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,10,"634,000",2026,September,9
IA,"Hancock, IA",KLEMME,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,11,"341,000",2026,September,9
IA,"Howard, IA",Lime Springs,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,17,"3,712,000",2026,September,9
IA,"Winnebago, IA",SCARVILLE,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,14,"2,506,000",2026,September,9
IA,"Worth, IA",HANLONTOWN,Five Star Cooperative,Five Star Cooperative Elevators,Federal,I - Issued,[3-8704],[8-0745],Approved,13,"3,468,000",2026,September,9
IA,"Dubuque, IA",EPWORTH (BANKSTON),"Dave's Feed Store, Inc.","Dave's Feed Store, Inc.",State,,[],[8-0748],Approved,2,"45,000",2026,September,9
IA,"Dubuque, IA",Luxemburg,"Dave's Feed Store, Inc.","Dave's Feed Store, Inc.",State,,[],[8-0748],Approved,1,"1,246,000",2026,September,9
IN,"Benton, IN",FOWLER,Archer-Daniels-Midland Company,ARCHER-DANIELS-MIDLAND COMPANY,State,,[],[8-0760],Approved,2,"825,000",2026,September,9
IN,"Benton, IN",SWANINGTON,Archer-Daniels-Midland Company,ARCHER-DANIELS-MIDLAND COMPANY,State,,[],[8-0760],Approved,1,"5,112,000",2026,September,9
IA,"Palo Alto, IA",EMMETSBURG,Ag Processing Inc a Cooperative,AGP Elevator,Federal,I - Issued,[3-9343],[8-0787],Approved,1,"3,553,000",2026,September,9
IA,"Wayne, IA",CORYDON,MFA Incorporated,MFA Agri Services Elevator,Federal,I - Issued,[3-6637],[8-0798],Approved,4,"1,144,000",2026,September,9
IA,"Wayne, IA",LINEVILLE,MFA Incorporated,MFA Agri Services Elevator,Federal,I - Issued,[3-6637],[8-0798],Approved,2,"874,000",2026,September,9
IA,"Keokuk, IA",KEOTA,Fagen Elevator Inc.,Fagen Elevator,Federal,I - Issued,[3-7753],[8-0799],Approved,1,"1,221,000",2026,September,9
AR,"Desha, AR",DUMAS,"Crop Marketing Services, LLC",Dunklin Elevator,Federal,I - Issued,[3-10038],[8-0823],Approved,1,"895,000",2026,September,9
AR,"Desha, AR",MCGEHEE,"Crop Marketing Services, LLC",Dunklin Elevator,Federal,I - Issued,[3-10038],[8-0823],Approved,2,"3,614,000",2026,September,9
KS,"Sedgwick, KS",WICHITA,"Beachner Grain, Inc.","Beachner Grain, Inc.",State,,[],[8-0829],Approved,1,"2,242,000",2026,September,9
TX,"Lipscomb, TX",FOLLETT,"FOLLETT GRAIN, L.L.C.","FOLLETT GRAIN, L.L.C.",State,,[],[8-0847],Authorized,1,"1,234,000",2026,September,9
IL,"Marion, IL",CENTRALIA,Irvington Elevator Company,IRVINGTON ELEVATOR COMPANY,State,,[],[8-0855],Approved,3,"1,967,000",2026,September,9
IL,"Marion, IL",KELL,Irvington Elevator Company,IRVINGTON ELEVATOR COMPANY,State,,[],[8-0855],Approved,2,"425,000",2026,September,9
IL,"Washington, IL",IRVINGTON,Irvington Elevator Company,IRVINGTON ELEVATOR COMPANY,State,,[],[8-0855],Approved,1,"1,967,000",2026,September,9
OH,"Pickaway, OH",CIRCLEVILLE,"Cargill, Incorporated",Cargill ER Elevators,Federal,I - Issued,[3-10088],[8-0857],Approved,20,"2,197,000",2026,September,9
IN,"Benton, IN",FOWLER,Primary Products Grain LLC,Primary Products Grain LLC,State,,[],[8-0859],Approved,14,"4,362,000",2026,September,9
IN,"Pulaski, IN",FRANCESVILLE,Primary Products Grain LLC,Primary Products Grain LLC,State,,[],[8-0859],Approved,15,"1,928,157",2026,September,9
IN,"Pulaski, IN",Francesville (North),Primary Products Grain LLC,Primary Products Grain LLC,State,,[],[8-0859],Approved,16,"2,416,394",2026,September,9
IN,"Tippecanoe, IN",Lafayette,Primary Products Grain LLC,Primary Products Grain LLC,State,,[],[8-0859],Approved,17,"541,644",2026,September,9
IN,"Tippecanoe, IN",Lafayette,Primary Products Grain LLC,Primary Products Grain LLC,State,,[],[8-0859],Approved,18,"390,562",2026,September,9
IL,"Jefferson, IL",Mt. Vernon,Mt. Vernon Elevator Co.,Mt. Vernon Elevator Co.,State,,[],[8-0863],Approved,1,"1,162,000",2026,September,9
CA,"Colusa, CA",PRINCETON,"Sacramento Valley Seed Company, LLC",SACRAMENTO VALLEY SEED COMPANY,Unlicensed,,[],[8-0877],Approved,3,"306,000",2026,September,9
CA,"Colusa, CA",WILLIAMS,"Sacramento Valley Seed Company, LLC",SACRAMENTO VALLEY SEED COMPANY,Unlicensed,,[],[8-0877],Approved,1,"565,000",2026,September,9
WI,"Burnett, WI",GRANTSBURG,Burnett Dairy Cooperative,BURNETT DAIRY COOPERATIVE,State,,[],[8-0883],Approved,1,,2026,September,9
MI,"Barry, MI",Lake Odessa,Caledonia Farmers Elevator Company,CALDONIA FARMERS ELEVATOR COMPANY,State,,[],[8-0893],Approved,4,"111,700",2026,September,9
MI,"Eaton, MI",CHARLOTTE,Caledonia Farmers Elevator Company,CALDONIA FARMERS ELEVATOR COMPANY,State,,[],[8-0893],Approved,3,"1,900,000",2026,September,9
MI,"Ionia, MI",Lake Odessa,Caledonia Farmers Elevator Company,CALDONIA FARMERS ELEVATOR COMPANY,State,,[],[8-0893],Approved,1,"380,000",2026,September,9
MI,"Kent, MI",CALEDONIA,Caledonia Farmers Elevator Company,CALDONIA FARMERS ELEVATOR COMPANY,State,,[],[8-0893],Approved,2,"185,000",2026,September,9
CO,,WILEY,"TEMPEL GRAIN ELEVATORS, L. L. P.","TEMPEL GRAIN ELEVATORS, L. L. P.",State,,[],[8-0898],Authorized,5,"712,000",2026,September,9
CO,"Baca, CO",CAMPO,"TEMPEL GRAIN ELEVATORS, L. L. P.","TEMPEL GRAIN ELEVATORS, L. L. P.",State,,[],[8-0898],Authorized,7,,2026,September,9
CO,"Baca, CO",PRITCHETT,"TEMPEL GRAIN ELEVATORS, L. L. P.","TEMPEL GRAIN ELEVATORS, L. L. P.",State,,[],[8-0898],Authorized,2,,2026,September,9
CO,"Baca, CO",SPRINGFIELD,"TEMPEL GRAIN ELEVATORS, L. L. P.","TEMPEL GRAIN ELEVATORS, L. L. P.",State,,[],[8-0898],Authorized,6,,2026,September,9
CO,"Baca, CO",TWO BUTTES,"TEMPEL GRAIN ELEVATORS, L. L. P.","TEMPEL GRAIN ELEVATORS, L. L. P.",State,,[],[8-0898],Authorized,4,,2026,September,9
CO,"Baca, CO",VILAS,"TEMPEL GRAIN ELEVATORS, L. L. P.","TEMPEL GRAIN ELEVATORS, L. L. P.",State,,[],[8-0898],Authorized,1,,2026,September,9
CO,"Baca, CO",WALSH,"TEMPEL GRAIN ELEVATORS, L. L. P.","TEMPEL GRAIN ELEVATORS, L. L. P.",State,,[],[8-0898],Authorized,13,,2026,September,9
CO,"Kiowa, CO",SHERIDAN LAKE,"TEMPEL GRAIN ELEVATORS, L. L. P.","TEMPEL GRAIN ELEVATORS, L. L. P.",State,,[],[8-0898],Authorized,9,"392,000",2026,September,9
CO,"Kiowa, CO",TOWNER,"TEMPEL GRAIN ELEVATORS, L. L. P.","TEMPEL GRAIN ELEVATORS, L. L. P.",State,,[],[8-0898],Authorized,8,"417,000",2026,September,9
CO,"Kit Carson, CO",BETHUNE,"TEMPEL GRAIN ELEVATORS, L. L. P.","TEMPEL GRAIN ELEVATORS, L. L. P.",State,,[],[8-0898],Authorized,11,"1,342,000",2026,September,9
CO,"Kit Carson, CO",VONA,"TEMPEL GRAIN ELEVATORS, L. L. P.","TEMPEL GRAIN ELEVATORS, L. L. P.",State,,[],[8-0898],Authorized,12,"622,000",2026,September,9
CO,"Prowers, CO",CARLTON,"TEMPEL GRAIN ELEVATORS, L. L. P.","TEMPEL GRAIN ELEVATORS, L. L. P.",State,,[],[8-0898],Authorized,3,"82,000",2026,September,9
CO,"Prowers, CO",LAMAR,"TEMPEL GRAIN ELEVATORS, L. L. P.","TEMPEL GRAIN ELEVATORS, L. L. P.",State,,[],[8-0898],Authorized,10,"394,000",2026,September,9
LA,"Tensas, LA",WATERPROOF,"Farmers Grain Terminal, Inc.",Farmers Grain Warehouse,Federal,I - Issued,[3-5711],[8-0901],Approved,5,"2,584,000",2026,September,9
MO,"Moniteau, MO",JAMESTOWN,"Jamestown Agri Service, Inc.","Jamestown Agri Service, Inc.",State,,[],[8-0945],Approved,1,"134,000",2026,September,9
OH,"Lucas, OH",GRAND RAPIDS,"Northern Ohio Grain Cooperative, Inc.",NORTHERN OHIO GRAIN CO-OP,State,,[],[8-0960],Approved,2,"1,591,000",2026,September,9
OH,"Wood, OH",WESTON,"Northern Ohio Grain Cooperative, Inc.",NORTHERN OHIO GRAIN CO-OP,State,,[],[8-0960],Approved,1,"3,152,000",2026,September,9
OH,"Wood, OH",WESTON (RR-Bordner Farm),"Northern Ohio Grain Cooperative, Inc.",NORTHERN OHIO GRAIN CO-OP,State,,[],[8-0960],Approved,3,"620,000",2026,September,9
IA,"Sioux, IA",SIOUX CENTER,"Sioux Feed, LLC",Sioux Feed Elevator,Federal,I - Issued,[3-10217],[8-0979],Approved,1,"144,000",2026,September,9
NE,"Rock, NE",LONG PINE,"Pride Enterprises, Inc.","PRIDE ENTERPRISES, INC.",State,,[],[8-1002],Approved,1,"2,643,921",2026,September,9
SD,"Brown, SD",FREDERICK,Frederick Farmers Elevator Cooperative,Frederick Farmers Elevator,Federal,I - Issued,[3-9468],[8-1011],Approved,1,"2,574,000",2026,September,9
CO,"Adams, CO",BENNETT,Roggen Farmers Elevator Association,ROGGEN FARMERS ELEVATOR ASSOCIATION,State,,[],[8-1023],Approved,5,"486,000",2026,September,9
CO,"Morgan, CO",BRUSH,Roggen Farmers Elevator Association,ROGGEN FARMERS ELEVATOR ASSOCIATION,State,,[],[8-1023],Approved,4,"143,000",2026,September,9
CO,"Weld, CO",BRIGGSDALE,Roggen Farmers Elevator Association,ROGGEN FARMERS ELEVATOR ASSOCIATION,State,,[],[8-1023],Approved,2,"153,000",2026,September,9
CO,"Weld, CO",NUNN,Roggen Farmers Elevator Association,ROGGEN FARMERS ELEVATOR ASSOCIATION,State,,[],[8-1023],Approved,3,"156,000",2026,September,9
CO,"Weld, CO",ROGGEN,Roggen Farmers Elevator Association,ROGGEN FARMERS ELEVATOR ASSOCIATION,State,,[],[8-1023],Approved,1,"1,830,000",2026,September,9
CO,"Washington, CO",ANTON,Anton Cooperative Association,"ANTON COOP ELEVATOR, LTD",State,,[],[8-1024],Approved,1,"812,000",2026,September,9
TX,"Jackson, TX",GANADO,"Rice Belt Warehouse, Inc.",RICE BELT WAREHOUSE,Federal,I - Issued,[3-6344],[8-1058],Approved,1,"1,816,000",2026,September,9
IA,"O'Brien, IA",SHELDON,Ag Processing Inc a Cooperative,AGP Elevator,Federal,I - Issued,[3-7893],[8-1065],Approved,1,"2,156,000",2026,September,9
IL,"La Salle, IL",MIDWAY SIDING,"Leone Grain & Supply, Inc.",LEONE GRAIN AND SUPPLY INC.,State,,[],[8-1076],Approved,1,"441,000",2026,September,9
VA,"King William, VA",WEST POINT,The Mennel Milling Company,THE MENNEL MILLING COMPANY,Unlicensed,,[],[8-1092],Approved,1,"2,156,000",2026,September,9
IA,"Pottawattamie, IA",COUNCIL BLUFFS,"BUNGE NORTH AMERICA (OPD WEST), INC.",BUNGE NORTH AMERICA SOY PLANT,Federal,I - Issued,[3-9458],[8-1099],Approved,1,"4,757,000",2026,September,9
IA,"Clayton, IA",STRAWBERRY POIN,"STRAWBERRY POINT FEED & GRAIN, INC.","STRAWBERRY POINT FEED & GRAIN, INC.",State,,[],[8-1123],Approved,1,,2026,September,9
IN,"Fountain, IN",ATTICA,Archer-Daniels-Midland Company,ARCHER-DANIELS-MIDLAND COMPANY,State,,[],[8-1127],Approved,1,,2026,September,9
TN,"Chester, TN",HENDERSON,"Chester County Grain, Inc.",Chester County Grain Elevator,Federal,S - Suspended,[3-9155],[8-1132],Removed,1,"1,249,000",2026,September,9
TN,"Hardin, TN",SAVANNAH,"Chester County Grain, Inc.",Chester County Grain Elevator,Federal,S - Suspended,[3-9155],[8-1132],Removed,2,"82,000",2026,September,9
NE,"Merrick, NE",CLARKS(THUMEL SIDING),"Bunge USA Grain, LLC",Bunge Nebraska Elevators,Federal,I - Issued,[3-9860],[8-1147],Approved,1,"5,906,000",2026,September,9
IL,"Adams, IL",Clayton,"Dearwester Grain Services, Inc.","Dearwester Grain Services, Inc.",State,,[],[8-1163],Approved,5,"630,000",2026,September,9
IL,"Adams, IL",Golden,"Dearwester Grain Services, Inc.","Dearwester Grain Services, Inc.",State,,[],[8-1163],Approved,1,"740,000",2026,September,9
IL,"Adams, IL",LaPrairie,"Dearwester Grain Services, Inc.","Dearwester Grain Services, Inc.",State,,[],[8-1163],Approved,4,"434,000",2026,September,9
IL,"Adams, IL",Liberty,"Dearwester Grain Services, Inc.","Dearwester Grain Services, Inc.",State,,[],[8-1163],Approved,6,"250,000",2026,September,9
IL,"Adams, IL",PALOMA,"Dearwester Grain Services, Inc.","Dearwester Grain Services, Inc.",State,,[],[8-1163],Approved,2,"168,000",2026,September,9
IL,"Brown, IL",MT. STERLING,"Dearwester Grain Services, Inc.","Dearwester Grain Services, Inc.",State,,[],[8-1163],Approved,3,"152,000",2026,September,9
IL,"Hancock, IL",Carthage,"Dearwester Grain Services, Inc.","Dearwester Grain Services, Inc.",State,,[],[8-1163],Approved,7,"2,585,000",2026,September,9
IL,"Hancock, IL",Carthage,"Dearwester Grain Services, Inc.","Dearwester Grain Services, Inc.",State,,[],[8-1163],Approved,8,"28,000",2026,September,9
IL,"Hancock, IL",Carthage,"Dearwester Grain Services, Inc.","Dearwester Grain Services, Inc.",State,,[],[8-1163],Approved,9,"965,000",2026,September,9
IL,"Pike, IL",Hull,"Dearwester Grain Services, Inc.","Dearwester Grain Services, Inc.",State,,[],[8-1163],Approved,10,"1,023,000",2026,September,9
IL,"Crawford, IL",Annapolis,Annapolis Grain Co.,ANNAPOLIS GRAIN CO.,State,,[],[8-1172],Approved,1,"2,027,000",2026,September,9
IL,"Crawford, IL",HUTSONVILLE,Annapolis Grain Co.,ANNAPOLIS GRAIN CO.,State,,[],[8-1172],Approved,2,"755,000",2026,September,9
IL,"Vermilion, IL",ALVIN,"Stewart Grain Co., Inc.","STEWART GRAIN CO., INC.",State,,[],[8-1186],Approved,2,0,2026,September,9
IL,"Vermilion, IL",Bismarck,"Stewart Grain Co., Inc.","STEWART GRAIN CO., INC.",State,,[],[8-1186],Approved,1,"2,566,000",2026,September,9
IL,"Vermilion, IL",ROSSVILLE,"Stewart Grain Co., Inc.","STEWART GRAIN CO., INC.",State,,[],[8-1186],Approved,3,0,2026,September,9
PA,"Lancaster, PA",Marietta,Perdue AgriBusiness LLC,Perdue Elevators,Federal,I - Issued,[3-10228],[8-1189],Approved,1,"1,310,000",2026,September,9
PA,"Lancaster, PA",Marietta (Bainbridge),Perdue AgriBusiness LLC,Perdue Elevators,Federal,I - Issued,[3-10228],[8-1189],Approved,4,"2,410,000",2026,September,9
LA,"Calcasieu, LA",LAKE CHARLES,"Hardy Rice Dryer, LLC",HARDY RICE DRYER LLC,State,,[],[8-1196],Approved,1,,2026,September,9
LA,"Acadia, LA",CROWLEY,"Hardy Rice Dryer, LLC",HARDY RICE DRYER LLC,State,,[],[8-1198],Approved,2,"1,114,000",2026,September,9
LA,"Jefferson Davis, LA",LACASSINE,"Hardy Rice Dryer, LLC",HARDY RICE DRYER LLC,State,,[],[8-1198],Approved,1,"2,084,000",2026,September,9
NE,"Adams, NE",HASTINGS,Ag Processing Inc a Cooperative,AGP Elevator,Federal,I - Issued,[3-9487],[8-1200],Approved,1,"5,327,000",2026,September,9
IA,"Monona, IA",SOLDIER,MAPLETON GRAIN COMPANY,MAPLETON GRAIN COMPANY,State,,[],[8-1204],Authorized,1,"1,780,000",2026,September,9
IA,"Monona, IA",SOLDIER,MAPLETON GRAIN COMPANY,MAPLETON GRAIN COMPANY,State,,[],[8-1204],Authorized,2,"1,317,000",2026,September,9
WA,"Whitman, WA",MOCKONEMA (Colfax),Almota Elevator Company,ALMOTA ELEVATOR COMPANY,State,,[],[8-1207],Approved,3,"457,000",2026,September,9
WA,"Whitman, WA",PORT ALMOTA (Colfax),Almota Elevator Company,ALMOTA ELEVATOR COMPANY,State,,[],[8-1207],Approved,1,"2,703,000",2026,September,9
WA,"Whitman, WA",UNION CENTER (Colfax),Almota Elevator Company,ALMOTA ELEVATOR COMPANY,State,,[],[8-1207],Approved,2,"426,000",2026,September,9
IA,"Dubuque, IA",Dyersville,Farmers Shipping Association,Farmers Shipping Association,State,,[],[8-1218],Approved,1,"1,515,000",2026,September,9
OH,"Ashland, OH",Loudonville,Loudonville Farmers Equity Company,Loudonville Farmers Equity Company,State,,[],[8-1225],Approved,1,"532,000",2026,September,9
TX,"Harris, TX",Houston,Hansen Metro Elevation LLC,Hansen Metro Elevation LLC - Houston Port,Federal,Q - Pending Cancellation,[3-10215],[8-1232],Removed,1,"6,784,000",2026,September,9
IN,"Newton, IN",KENTLAND,"Kentland Elevator & Supply, Inc.",Kentland Elevators,Federal,I - Issued,[3-8675],[8-1239],Approved,1,"5,510,000",2026,September,9
IA,"Lee, IA",Donnellson,"Mt. Hamill Elevator and Lumber, Inc.",MT Hamill Elev & Lumber Inc,State,,[],[8-1253],Approved,1,"551,000",2026,September,9
IA,"Lee, IA",Donnellson,"Mt. Hamill Elevator and Lumber, Inc.",MT Hamill Elev & Lumber Inc,State,,[],[8-1253],Approved,2,"271,000",2026,September,9
IA,"Howard, IA",CRESCO,"Sovereign Grain, Inc.","SOVEREIGN GRAIN, INC.",State,,[],[8-1265],Approved,1,"1,352,000",2026,September,9
MI,"Clinton, MI",GRAND LEDGE,Archer-Daniels-Midland Company,ARCHER-DANIELS-MIDLAND COMPANY,State,,[],[8-1277],Approved,1,,2026,September,9
WA,"Adams, WA",OTHELLO,"EPPICH GRAIN, INC.","EPPICH GRAIN, INC",State,,[],[8-1289],Authorized,1,"152,000",2026,September,9
WA,"Franklin, WA",BASIN CITY,"EPPICH GRAIN, INC.","EPPICH GRAIN, INC",State,,[],[8-1289],Authorized,3,"996,000",2026,September,9
WA,"Grant, WA",ROYAL SLOPE,"EPPICH GRAIN, INC.","EPPICH GRAIN, INC",State,,[],[8-1289],Authorized,2,"333,000",2026,September,9
WA,"Adams, WA",Odessa,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,34,"221,000",2026,September,9
WA,"Adams, WA",Odessa,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,36,"494,000",2026,September,9
WA,"Adams, WA",Odessa,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,44,"386,000",2026,September,9
WA,"Adams, WA",Odessa,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,46,"520,000",2026,September,9
WA,"Adams, WA",Ritzville,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,42,"460,000",2026,September,9
WA,"Chelan, WA",Wenatchee,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,19,,2026,September,9
WA,"Douglas, WA",Alstown,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,5,,2026,September,9
WA,"Douglas, WA",Douglas,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,11,,2026,September,9
WA,"Douglas, WA",Farmer,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,13,,2026,September,9
WA,"Douglas, WA",Mansfield,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,6,,2026,September,9
WA,"Douglas, WA",Supplee,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,3,,2026,September,9
WA,"Douglas, WA",Waterville,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,4,,2026,September,9
WA,"Douglas, WA",Withrow,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,2,,2026,September,9
WA,"Grant, WA",Coulee City,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,1,,2026,September,9
WA,"Grant, WA",Ephrata,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,26,"1,460,000",2026,September,9
WA,"Grant, WA",GRAND COULEE,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,12,,2026,September,9
WA,"Grant, WA",Hartline,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,9,,2026,September,9
WA,"Grant, WA",Hartline,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,10,,2026,September,9
WA,"Grant, WA",Krupp,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,20,,2026,September,9
WA,"Lincoln, WA",Almira,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,8,,2026,September,9
WA,"Lincoln, WA",Creston,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,18,,2026,September,9
WA,"Lincoln, WA",Davenport,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,21,"600,000",2026,September,9
WA,"Lincoln, WA",Davenport,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,22,"3,800,000",2026,September,9
WA,"Lincoln, WA",Davenport,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,23,"255,000",2026,September,9
WA,"Lincoln, WA",Davenport,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,28,"367,000",2026,September,9
WA,"Lincoln, WA",Davenport,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,39,"1,073,000",2026,September,9
WA,"Lincoln, WA",Davenport,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,41,"153,000",2026,September,9
WA,"Lincoln, WA",Davenport,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,45,"325,000",2026,September,9
WA,"Lincoln, WA",Edwall,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,25,"351,000",2026,September,9
WA,"Lincoln, WA",Edwall,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,48,"753,000",2026,September,9
WA,"Lincoln, WA",Govan,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,17,,2026,September,9
WA,"Lincoln, WA",Harrington,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,24,"831,000",2026,September,9
WA,"Lincoln, WA",Harrington,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,29,"2,481,000",2026,September,9
WA,"Lincoln, WA",Harrington,"Highline Grain Growers, Inc.","HIGHLINE GRAIN GROWERS, INC.",State,,[],[8-1299],Approved,38,"1,032,000",2026,September,9
