operator,label,state,how_the_state_was_decided,lat,lon,precision,via,location_id,platform,board_url
"AgMark LLC.","South Lawrence","","no town of that name in data/directory.json","","","","","37957","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Speed","","no town of that name in data/directory.json","","","","","54441","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Spring Hill","","no town of that name in data/directory.json","","","","","82832","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Tipton","","AMBIGUOUS — IA/IN/MO, and nothing chooses between them","","","","","455","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Waverly","","AMBIGUOUS — IA/IL/NE/SD/VA, and nothing chooses between them","","","","","37977","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AGrowStar","CALHOUN, GA","GA","the label names its own state (no town of that name on file there yet)","","","","","5219","agricharts-cashgrid","https://agrowstar.agricharts.com/markets/cashgrid.php"
"AGrowStar","CONWAY, SC","SC","the label names its own state (no town of that name on file there yet)","","","","","10718","agricharts-cashgrid","https://agrowstar.agricharts.com/markets/cashgrid.php"
"AGrowStar","KINGSTREE, SC","SC","the label names its own state (no town of that name on file there yet)","","","","","10688","agricharts-cashgrid","https://agrowstar.agricharts.com/markets/cashgrid.php"
"AGrowStar","LYNCHBURG, SC","SC","the label names its own state (no town of that name on file there yet)","","","","","5220","agricharts-cashgrid","https://agrowstar.agricharts.com/markets/cashgrid.php"
"AGrowStar","ROSIER, GA","GA","the label names its own state (no town of that name on file there yet)","","","","","10690","agricharts-cashgrid","https://agrowstar.agricharts.com/markets/cashgrid.php"
"AGrowStar","SYLVANIA, GA","GA","the label names its own state (no town of that name on file there yet)","","","","","5218","agricharts-cashgrid","https://agrowstar.agricharts.com/markets/cashgrid.php"
"AGrowStar","WRENS, GA","GA","the label names its own state (no town of that name on file there yet)","","","","","10689","agricharts-cashgrid","https://agrowstar.agricharts.com/markets/cashgrid.php"
"Agtegra","AGP Dawson","","no town of that name in data/directory.json","","","","","57202","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Alpena","SD","one town of that name in the directory","44.1709","-98.3962","town","zip-centroid","3124","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Hague","ND","one town of that name in the directory","46.0589","-99.9745","town","zip-centroid","50056","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Herreid","","no town of that name in data/directory.json","","","","","50054","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Highmore","SD","one town of that name in the directory","44.5326","-99.4543","town","zip-centroid","3126","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Huron","SD","one town of that name in the directory","44.36115","-98.2153","town","zip-centroid","3129","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Java","SD","one town of that name in the directory","45.4492","-99.822","town","zip-centroid","50047","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Kennebec","SD","one town of that name in the directory","43.8921","-99.8502","town","zip-centroid","3127","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Lebanon","SD","several states have the town; the operator's own is one","45.0123","-99.7366","town","zip-centroid","50061","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","McLaughlin","SD","one town of that name in the directory","45.7083","-101.0181","town","zip-centroid","22657","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
