operator,location,state,copies,id,host,platform,enabled,has_phone,has_coord,suggestion
"FS GRAIN","ADM - CLINTON CORN","IA","2","fsgrain-admclintoncorn","fsgrain.com","agricharts-cashgrid","true","yes","yes","cannot tell these apart — look"
"FS GRAIN","ADM - CLINTON CORN","IA","2","northerngrainmarketing-admclintoncorn","northerngrainmarketing.com","agricharts-cashgrid","true","yes","yes","cannot tell these apart — look"
"FS GRAIN","CGB - ALBANY","IL","2","fsgrain-cgbalbany","fsgrain.com","agricharts-cashgrid","true","yes","no","cannot tell these apart — look"
"FS GRAIN","CGB - ALBANY","IL","2","northerngrainmarketing-cgbalbany","northerngrainmarketing.com","agricharts-cashgrid","true","yes","no","cannot tell these apart — look"
"FS GRAIN","CGB - HENNEPIN","IL","2","fsgrain-cgbhennepin","fsgrain.com","agricharts-cashgrid","true","yes","no","cannot tell these apart — look"
"FS GRAIN","CGB - HENNEPIN","IL","2","northerngrainmarketing-cgbhennepin","northerngrainmarketing.com","agricharts-cashgrid","true","yes","no","cannot tell these apart — look"
"FS GRAIN","GRAND RIDGE","IL","2","fsgrain-grandridge","fsgrain.com","agricharts-cashgrid","true","yes","no","cannot tell these apart — look"
"FS GRAIN","GRAND RIDGE","IL","2","northerngrainmarketing-grandridge","northerngrainmarketing.com","agricharts-cashgrid","true","yes","no","cannot tell these apart — look"
"FS GRAIN","MARQUIS","IL","2","fsgrain-marquis","fsgrain.com","agricharts-cashgrid","true","yes","no","cannot tell these apart — look"
"FS GRAIN","MARQUIS","IL","2","northerngrainmarketing-marquis","northerngrainmarketing.com","agricharts-cashgrid","true","yes","no","cannot tell these apart — look"
"FS GRAIN","MAZON","IL","2","fsgrain-mazon","fsgrain.com","agricharts-cashgrid","true","yes","no","cannot tell these apart — look"
"FS GRAIN","MAZON","IL","2","northerngrainmarketing-mazon","northerngrainmarketing.com","agricharts-cashgrid","true","yes","no","cannot tell these apart — look"
"FS GRAIN","MCLEAN","IL","2","fsgrain-mclean","fsgrain.agricharts.com","agricharts-cashgrid","true","no","yes","KEEP"
"FS GRAIN","MCLEAN","IL","2","northerngrainmarketing-mclean","northerngrainmarketing.com","agricharts-cashgrid","true","no","yes","the other one looks better"
"FS GRAIN","RANSOM","IL","2","fsgrain-ransom","fsgrain.com","agricharts-cashgrid","true","yes","no","cannot tell these apart — look"
"FS GRAIN","RANSOM","IL","2","northerngrainmarketing-ransom","northerngrainmarketing.com","agricharts-cashgrid","true","yes","no","cannot tell these apart — look"
"FS GRAIN","VISERION - SAVANNA","IL","2","fsgrain-viserionsavanna","fsgrain.com","agricharts-cashgrid","true","yes","yes","cannot tell these apart — look"
"FS GRAIN","VISERION - SAVANNA","IL","2","northerngrainmarketing-viserionsavanna","northerngrainmarketing.com","agricharts-cashgrid","true","yes","yes","cannot tell these apart — look"
